epoch,loss,semigroup,swd,moment,identity,identity_ratio,delta_tv,delta_l2,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
11,6.022531509399414,0.061500128358602524,0.2568536400794983,0.35602179169654846,0.0019488713005557656,0.5009450316429138,0.04419577121734619,0.12328711152076721,1.1475595235824585,1.0,1.0,0.7978728413581848,0.00018727241335952173,0.8141102999652503,0.016289699968183413,61.22289050002291,12.466285600021365,0.5236476001737174,53.33747119970212,74.22911340018618,128.3905110359192,15872,123.62284308970129,213.82445880001836
12,5.9942946434021,0.05928242951631546,0.25558963418006897,0.3559984564781189,0.0019359398866072297,0.5082535147666931,0.04355937987565994,0.12209044396877289,1.1460094451904297,1.0,1.0,0.7990535497665405,0.00018467370395481534,0.8211658999789506,0.01616189997002948,54.40508330002194,3.200166499998886,0.27794199997151736,53.76875149998523,57.899353699962376,112.49233889579773,15872,141.0940527665828,274.1308665075879
13,6.026153087615967,0.06112700700759888,0.2571238875389099,0.35729697346687317,0.0018688228446990252,0.5034021735191345,0.04498610273003578,0.12504148483276367,1.1471937894821167,1.0,1.0,0.8069559335708618,0.00018185661446562006,0.8043674000655301,0.01590929998201318,54.658999799969024,3.208464799929061,0.28380139988439623,53.96433390022139,58.167175299764494,112.93804550170898,15872,140.53722932330916,272.8686740967506
14,6.016237735748291,0.05945995822548866,0.2569786608219147,0.3560481369495392,0.0018115248531103134,0.5032131671905518,0.04539979249238968,0.12534292042255402,1.1479452848434448,1.0,1.0,0.7986288070678711,0.0001788288663384123,0.8046670999319758,0.016468400004669093,54.47380499991414,3.193811600052868,0.2852731999155367,53.89646770009131,57.96935819988721,112.67284679412842,15872,140.8680125833753,273.79982274895843
15,5.97882604598999,0.06020168215036392,0.25607937574386597,0.35586225986480713,0.0014148855116218328,0.49873989820480347,0.04596070200204849,0.12828662991523743,1.1451236009597778,1.0,1.0,0.7993462681770325,0.00017559875842035252,0.804645399999572,0.0165549000230385,54.54371860000538,3.1955446999927517,0.2821770998998545,53.983504000119865,58.03799529992102,112.82883381843567,15872,140.67326110576704,273.4760206306023
16,6.028133392333984,0.05903885141015053,0.25719770789146423,0.3564262390136719,0.001954082166776061,0.5045992732048035,0.04625215753912926,0.12789052724838257,1.147185206413269,1.0,1.0,0.797795295715332,0.00017217514421272208,0.7982925999967847,0.01591620002000127,54.560806100125774,3.1812936999776866,0.27776680000533815,53.97894769992854,58.0357828001288,112.8151650428772,15872,140.6903051905087,273.4864463646862
17,5.9895453453063965,0.059565503150224686,0.25553449988365173,0.3545767366886139,0.0019107537809759378,0.498046875,0.046643540263175964,0.12838123738765717,1.1472365856170654,1.0,1.0,0.8126606941223145,0.0001685674076040916,0.8017253999423701,0.01716459999443032,54.83778119999624,3.2258701000973815,0.29016919997229706,54.2085262000619,58.37098510006035,113.38386964797974,15872,139.98463846116232,271.91591803345443
18,5.979876518249512,0.059919219464063644,0.2566523253917694,0.3556884527206421,0.00121765723451972,0.49684977531433105,0.04729819297790527,0.13046221435070038,1.147436261177063,1.0,1.0,0.8071389198303223,0.00016478543714973463,0.7996447999757947,0.01641819997166749,54.78392440006428,3.19783199999074,0.2806558999582194,54.10817510006018,58.278830499984906,113.18997025489807,15872,140.22443829834975,272.34589067472984
19,6.022112846374512,0.05864295735955238,0.2577711343765259,0.35782188177108765,0.0015542317414656281,0.4945186376571655,0.048346299678087234,0.1316898912191391,1.1476142406463623,1.0,1.0,0.794517993927002,0.000160839598967785,0.8071568001323612,0.016486699954839423,54.7865046000079,3.2013269000017317,0.2726985999906901,54.10807290005323,58.27701679995516,113.19554448127747,15872,140.21753305515685,272.3543666362176
20,6.007812976837158,0.056784532964229584,0.2578297257423401,0.35800185799598694,0.0012758461525663733,0.4964717626571655,0.047781527042388916,0.12935663759708405,1.147712230682373,1.0,1.0,0.7953639626502991,0.00015674070832642764,0.8130525999731617,0.016171699928236194,55.131335999962175,3.2740017000760417,0.2861255999741843,54.27746350002417,58.70763499994064,113.8015685081482,15872,139.47083689680045,270.35665803972597
21,5.963940143585205,0.056029919534921646,0.256008505821228,0.3543763756752014,0.0012848234036937356,0.49533769488334656,0.049280017614364624,0.13463124632835388,1.1462777853012085,1.0,1.0,0.8022155165672302,0.00015250000000000007,0.8457417999597965,0.017996599970501848,64.00472650013398,3.2938213998713763,0.28065599987166934,63.79143100010697,67.59720049984753,132.2371470928192,15872,120.02678785000714,234.80262322454908
22,5.929473400115967,0.05446646735072136,0.2547617256641388,0.35298001766204834,0.001181899569928646,0.5028351545333862,0.04869489371776581,0.1326819658279419,1.147908329963684,1.0,1.0,0.7985113263130188,0.00014812909747525702,0.835547700029565,0.018127999908756465,63.008278500143206,3.294092600044678,0.2791878000134602,62.691437199973734,66.5996869001101,130.12970066070557,15872,121.97061792514187,238.31943870555585
23,5.871048450469971,0.054983217269182205,0.2527948021888733,0.3522825539112091,0.0008161690202541649,0.49924394488334656,0.04973047971725464,0.13585954904556274,1.1482263803482056,1.0,1.0,0.8053932785987854,0.00014363998109220112,0.8107879000745015,0.01690440003585536,58.84087389994238,3.2248138999857474,0.28368179994868115,58.61100620002253,62.366273999912664,121.79090762138367,15872,130.32171538898396,254.49652483684093
24,5.956735134124756,0.053222429007291794,0.25601786375045776,0.3551126718521118,0.0011644756887108088,0.49785783886909485,0.049344778060913086,0.13192829489707947,1.1475740671157837,1.0,1.0,0.8034308552742004,0.00013904495520680363,0.7780190999910701,0.01566660011303611,53.13911660001031,3.107564799982356,0.27159659993776586,52.60577409985126,56.53394460004347,109.92046093940735,15872,144.39531880010307,280.75168135336156
25,5.92791748046875,0.05255414545536041,0.25515058636665344,0.3542948365211487,0.000980306533165276,0.5057963728904724,0.04978439211845398,0.13411873579025269,1.1467055082321167,1.0,1.0,0.8069136142730713,0.0001343566144656201,0.8057677000324475,0.016236700059380382,53.21881859998393,3.1928249999618856,0.273428599932231,52.55220060001011,56.70130889993743,110.0618805885315,15872,144.20978376098972,279.9229913371103
26,5.892183303833008,0.05280940607190132,0.25415775179862976,0.35086190700531006,0.0007948558195494115,0.5005040168762207,0.05013367906212807,0.13365457952022552,1.1477558612823486,1.0,1.0,0.7941893935203552,0.00012958780928473956,0.7825269999302691,0.015424100012751296,53.200650999948266,3.1064432998973643,0.2669959999329876,52.64567220027675,56.58951439979137,110.01956868171692,15872,144.26524472130214,280.4759886764202
27,5.891841888427734,0.049223143607378006,0.25379303097724915,0.35295626521110535,0.0009216512553393841,0.5063003897666931,0.05052802711725235,0.13358132541179657,1.1485005617141724,1.0,1.0,0.8074849843978882,0.0001247516106276872,0.8054658999608364,0.015939500008244067,53.13866150008107,3.4727592000708682,0.27863559999968857,52.45301919983467,56.90599580015987,110.16665744781494,15872,144.0726293027311,278.9161278494912
28,5.903697490692139,0.05230261757969856,0.2547774612903595,0.35228925943374634,0.0007286306354217231,0.4962197542190552,0.05174780264496803,0.13665305078029633,1.1480906009674072,1.0,1.0,0.7961283326148987,0.00011986127417882202,0.8412818000069819,0.01655390002997592,53.52785030004452,3.2735022999549983,0.27295979991322383,52.492202900059056,57.09086629994272,110.42677640914917,15872,143.73325488730794,278.01294723068384
29,5.859727382659912,0.049718014895915985,0.2529941499233246,0.3518485128879547,0.000631710747256875,0.4946446418762207,0.05213961377739906,0.13685227930545807,1.1478614807128906,1.0,1.0,0.8009400963783264,0.00011493020401042716,0.7722266001073876,0.015347199921961874,50.37534700005199,3.0611152000928996,0.26316060006502084,49.75918409971928,53.71497000013187,104.24979186058044,15872,152.24970445242315,295.4855974034991
30,5.829764366149902,0.050981901586055756,0.2519890367984772,0.3492451608181,0.0005126026808284223,0.49918094277381897,0.05225544422864914,0.1393897533416748,1.1465935707092285,1.0,1.0,0.7944705486297607,0.00010997191584307973,0.7736385999305639,0.014615700085414574,48.481764099924476,3.023669099973631,0.2560232000396354,47.82188360013242,51.77607210002316,100.37388944625854,15872,158.12877320548657,306.5508710150475
